Length,Time,Type,Make,Model,Driver,Date,Notes
"20,600 m (67,600 ft)",7:54,Production,Mercedes,"Mercedes-Benz CLK DTM AMG (W209, 2004)",Marcus Schurig,,"Sport Auto (03/2005), Dunlop SP Sport Super Race, five-speed AMG SPEEDSHIFT automatic.[251]"
,7:54,Production,Nissan,Nissan GT-R,,September 2008,"Porsche conducted test, stock vehicle.[156]"
"20,600 m (67,600 ft)",7:54,Production,Porsche,Porsche 911 GT3 (996),Horst von Saurma,2003,"Sport Auto (6/2003), Michelin Pilot Sport N2.[252]"
"20,600 m (67,600 ft)",7:54,Production,Porsche,Porsche 911 Turbo (997),Horst von Saurma,2007,"Sport Auto (05/2007), Michelin Pilot Sport Cup N0.[253]"
"20,600 m (67,600 ft)",7:54.36,Production,MÃ©gane,Renault Megane RS 275 Trophy-R,Laurent Hurgon,16 June 2014,Test realised by Renault Sport[254]
"20,600 m (67,600 ft)",7:55,Production,Mercedes,Mercedes-Benz E63 AMG S 4Matic,Horst von Saurma,9/2013,Sport Auto (09/2013) [255]
"20,600 m (67,600 ft)",7:54,Production,BMW,BMW F10 M5 Competition,Horst von Saurma,2014,Sport Auto (12/2014)[256]
,7:55,Production,Caterham,Caterham R500 Superlight,Robert Nearn,,Evo Magazine (07/2000)[citation needed]
"20,600 m (67,600 ft)",7:55,Production,Ferrari,Ferrari F430 F1,Horst von Saurma,2005,"Sport Auto (01/2006), Pirelli P Zero Corsa.[257]"
,7:56,Production,Chevrolet,Chevrolet Corvette C5 Z06,Dave Hill,,crossedflags.com[258]
"20,600 m (67,600 ft)",7:56,Production,Porsche,Porsche 911 Turbo (996),Horst von Saurma,,"Sport Auto[259] Flying start (""fliegende Runde."")"
,7:56,Production,Porsche,Porsche Panamera Turbo,Walter RÃ¶hrl,,Motor Trend (07/2009)[260]
,7:56,Production,Ferrari,Ferrari 360 Challenge Stradale F1,Horst von Saurma,,"Sport Auto (02/2004), sport tyres.[261]"
,7:56.73,Production,Honda,Honda NSX-R (NA2),Motoharu Kurosawa,,"Best Motoring Video Special Vol. 55 ""NA2 NSX-R"" (2002), video confirmed[citation needed]"
,7:58,Production,BMW,BMW M2 (F22),,December 2015,Car Magazine (12/2015)[262]
,7:58.4,Production,SEAT,SEAT Leon Mk3 Cupra,Jordi GenÃ©,March 2014,SEAT conducted test[263]
,7:59,Production,Chevrolet,Chevrolet Corvette C6 Z51,Jan Magnussen,2005,General Motors conducted test[citation needed]
,7:59,Production,Cadillac,Cadillac CTS-V (2009),John Heinricy,9 May 2008,"General Motors conducted test,[264] video confirmed[265]"
,7:59,Production,Porsche,Porsche 911 Carrera S (996),Walter RÃ¶hrl,,"'Wheels' magazine (06/2004), PASM setting ""Performance""[citation needed]"
,7:59,Production,Nissan,Nissan Skyline GT-R R33 V-Spec,Dirk Schoysman,1996,"Best Motoring - Time Attack / Autocar magazine 97, stock[citation needed][266]"
,7:59,Production,Dodge,Dodge Viper SRT-10 (2005),,November 2005,Motor Trend[citation needed]
,7:59.74,Production,Porsche,Porsche Cayenne Turbo S (958.2),,,Porsche conducted test[267]
,8:01,Production,Nissan,Nissan Skyline GT-R R33,Motoharu Kurosawa,,"Best Motoring - Video Special DVD Series, Prototype (weight/horsepower different from production car)[citation needed]"
,8:02,Production,Mercedes,Mercedes-Benz CLK63 AMG Black Series,,,Auto Bild (07/2007)[citation needed]
"20,600 m (67,600 ft)",8:02,Production,Aston Martin,Aston Martin DBS,Horst von Saurma,,"Sport Auto (01/2009), Pirelli P Zero.[268]"
,8:03,Production,Aston Martin,Aston Martin V8 Vantage (2005),Horst von Saurma,,Sport Auto (10/2005)[citation needed]
"20,600 m (67,600 ft)",8:03,Production,Jaguar,Jaguar XKR-S,Horst von Saurma,,"Sport Auto (03/2012), Pirelli P-Zero, six-speed automatic.[269]"
,8:03,Production,Porsche,Porsche 911 GT3 (996),Horst von Saurma,,Sport Auto (08/1999)[citation needed]
,8:03.86,Production,Honda,Honda NSX-R (NA1),Motoharu Kurosawa,,"Best Motoring Video Special Vol. 25 ""NA1 NSX-R"" (1995), video confirmed[citation needed]"
"20,600 m (67,600 ft)",8:04,Production,Lamborghini,Lamborghini Diablo GT,Horst von Saurma,2000,"Sport Auto (07/2000), Pirelli P Zero.[270]"
"20,600 m (67,600 ft)",8:04,Production,Audi,Audi R8 4.2 FSI quattro,Horst von Saurma,2007,"Sport Auto (07/2007), Pirelli P Zero Corsa, manual.[271]"
"20,600 m (67,600 ft)",8:04,Production,Alfa Romeo,Alfa Romeo 4C,Horst von Saurma,"September 12, 2013",[272][273]
,8:04,Production,Porsche,Porsche Cayman S,Walter RÃ¶hrl,,"Sport Auto, 19Â inch wheels, ceramic brakes.[citation needed]"
"20,600 m (67,600 ft)",8:04,Production,Porsche,Porsche Boxster S (981),Horst von Saurma,2012,"Sport Auto (07/2012), Pirelli P Zero, PDK, PCCB, PASM.[274]"
"20,600 m (67,600 ft)",8:04.92,Production,Volkswagen,Volkswagen Golf GTI TCR (2019),Christian Gebhardt,2019,"Sport Auto (12/2019), Michelin Pilot Sport Cup 2 N0.[275]"
"20,600 m (67,600 ft)",8:05,Production,BMW,BMW M3 E92,Horst von Saurma,,Sport Auto (12/2007)[276]
"20,600 m (67,600 ft)",8:05,Production,Mercedes,Mercedes-Benz CLK63 Black Series,Horst von Saurma,2007,"Sport Auto (03/2008), Pirelli P Zero Corsa.[277]"
,8:06,Production,Subaru ,Subaru WRX STi Spec-C (2004),Motoharu Kurosawa,,Best Motoring Video 'NISMO Beast Unleashed'[278]
"20,600 m (67,600 ft)",8:06.29,Production,Ford,"Ford Focus RS (Mk III, 2016)",Christian Gebhardt,,Sport Auto (1/2017).[279][280]
,8:06.56,Production,Honda,Honda NSX (NA1),Fredrik SÃ¸rlie,September 2016,"Kumho HU36, D2 coilovers[281]"
"20,600 m (67,600 ft)",8:07,Production,Ford,Ford Mustang GT Performance Pack,Horst von Saurma,2015,Auto Zeitung[282][283]
,8:07,Production,BMW,BMW Z8 E52,,,Auto Bild (06/2001)[citation needed]
,8:07.97,Production,Renault,Renault Megane RenaultSport 265 Trophy,Laurent Hurgon,"June 17, 2011","Renault Sport conducted test, Bridgestone RE 050A (235/35 R19).[284][285]"
"20,600 m (67,600 ft)",8:08.73,Production,Porsche,Porsche 911 Turbo 3.3 (964),Motoharu Kurosawa,,Best Motoring conducted test[286][287]
,8:09,Production,Audi,Audi RS4,Horst von Saurma,,Sport Auto (06/2006)[288]
,8:09,Production,BMW,BMW M6 (E63),Horst von Saurma,,"Sport Auto (12/2005), sport tyres, 259Â km/h speed limiter.[citation needed]"
,8:09,Production,Honda,Honda NSX-R (facelift),Horst von Saurma,,"Sport Auto (08/2002), sport tyres, suspension modification.[289]"
"20,600 m (67,600 ft)",8:09,Production,Lamborghini,Lamborghini Diablo SV,Horst von Saurma,1997,"Sport Auto (/1997), Pirelli P Zero Asimmetrico.[290]"
,8:10,Production,Porsche,Porsche Boxster S (987),,,"Porsche conducted test, reported by SÃ¼ddeutsche Zeitung[291]"
,8:10,Production,Dodge,Dodge Viper GTS,Horst von Saurma,,Sport Auto (10/1997)[citation needed]
"20,600 m (67,600 ft)",8:10,Production,BMW,BMW Alpina B6 S,Horst von Saurma,,Sport Auto (05/2008)[292]
,8:11.16,Production,Mitsubishi,Mitsubishi Lancer Evo IX,Takayuki Kinoshita,,"Best Motoring Video 14. Wet conditions, not a true time attack.[citation needed]"
,8:12,Production,BMW,BMW Z4 M Coupe,,,"Evo Magazine (Issue 093, page 077)[citation needed]"
"20,600 m (67,600 ft)",8:13,Production,BMW,BMW E60 M5,Horst von Saurma,2004,Sport Auto (12/2004)[293]
"20,600 m (67,600 ft)",8:13,Production,Dodge,Dodge Viper SRT-10 roadster (ZB),Horst von Saurma,2007,"Sport Auto (2007), Michelin Pilot Sport.[294]"
"20,600 m (67,600 ft)",8:13,Production,Mercedes,Mercedes-Benz C63 AMG (W204),Horst von Saurma,2008,"Sport Auto (02/2009), Michelin Pilot Sport 2, Performance Package (LSD, composite brakes, sport suspension).[295]"
,8:13,Production,Porsche,Porsche Cayenne Turbo (958),,2012,"Porsche conducted test, air suspension, PDCC, no PASM.[296]"
"20,600 m (67,600 ft)",8:14,Production,Artega,Artega GT,Horst von Saurma,2010,"Sport Auto (12/2010), Continental Conti ForceContact, DSG, optional sport suspension.[297]"
,8:14,Production,BMW,BMW Alpina B3 (E92) Biturbo Coupe,Horst von Saurma,,"Sport Auto (12/2008), optional LSD and 19 inch wheels.[298]"
,8:14,Production,Range Rover,Range Rover Sport SVR (2015),,May 2014,Range Rover conducted test.[299][300]
"20,600 m (67,600 ft)",8:15,Production,BMW,BMW 1 Series M Coupe (E82),Horst von Saurma,2011,"Sport Auto (07/2011), Michelin Pilot Sport.[301]"
"20,600 m (67,600 ft)",8:15,Production,Honda,Honda Civic Type R (FK2),Christian Gebhardt,2016,"Sport Auto (04/2016), Continental Conti SportContact 6, manual.[302]"
,8:16.15,Production,Honda,Honda NSX (NA1),Motoharu Kurosawa,,"Best Motoring Video Special Vol. 15 ""The Honda NSX"" (1990), video confirmed[citation needed]"
,8:16.90,Production,Renault,Renault Megane RS R26.R,Vincent BaylÃ©,23 June 2008,"Renault Sport conducted test, video confirmed [303]"
"20,600 m (67,600 ft)",8:17,Production,Porsche,"Porsche Cayman S (987, 2009)",Horst von Saurma,2009,"Sport Auto (12/2009), Bridgestone Potenza RE 050A N1, PDK, LSD, PASM, Sport Chrono options.[304]"
"20,600 m (67,600 ft)",8:18,Production,BMW,"BMW M135i (F20, 2012)",Horst von Saurma,2012,"Sport Auto (01/2013), Michelin Pilot Super Sport, manual, Adaptive M suspension.[305]"
,8:18,Production,Lexus,Lexus IS-F,Horst von Saurma,2009,Sport Auto (2009)[306]
"20,600 m (67,600 ft)",8:18,Production,Porsche,"Porsche Boxster S (987, 2009)",Horst von Saurma,2009,"Sport Auto (12/2009), Bridgestone Potenza RE 050A N1, PDK, LSD, PASM, Sport Chrono options.[307]"
,8:18,Production,Ferrari,Ferrari 355,,,Sport Auto (06/1997)[308]
"20,600 m (67,600 ft)",8:19.47,Production,Holden,Holden VF SS Redline Ute,Rob Trubiani,April 2013,Holden Blog (04/2013)[309]
"19,100 m (62,700 ft)",8:19.82,Production,Subaru ,Subaru BRZ,Fulvio Barozzini,October 2016,"BTG, Brakes and Tire modified.[310]"
,8:20,Production,Chevrolet,Chevrolet Camaro SS (2010),,2008,GM conducted test.[311]
,8:22,Production,Nissan,Nissan Skyline GT-R R32,Motoharu Kurosawa,,Best Motoring Video Special DVD[citation needed]
"20,600 m (67,600 ft)",8:22,Production,BMW,BMW M3 E46,Horst von Saurma,2000,"Sport Auto (12/2000), Michelin Pilot Sport.[312]"
,8:22,Production,BMW,BMW M3 E36/8,Horst von Saurma,,Sport Auto (10/1998)[citation needed]
"20,600 m (67,600 ft)",8:22,Production,Mercedes,Mercedes-Benz C55 AMG  (W203),Horst von Saurma,2004,"Sport Auto (7/2004), Pirelli P Zero Rosso.[313]"
,8:22.85,Production,Chevrolet,Chevrolet Cobalt SS/TC (2007),,,Motor Trend (10/2007)[citation needed]
"20,600 m (67,600 ft)",8:23,Production,Porsche,"Porsche Boxster S (987, 2006)",Horst von Saurma,2006,"Sport Auto (04/2006), Michelin Pilot Sport 2 N1, manual, Sport Chrono, PASM.[314]"
"20,600 m (67,600 ft)",8:23.12,Production,Porsche,Porsche 911 Carrera RS (964),Christian Gebhardt,2019,"Sport Auto (10/2019), Pirelli P Zero Trofeo R N0.[145]"
,8:24,Production,Subaru,Cosworth Type 25 STI spec C (2010),Mark Chandler,,"Sport Auto (2010), Sport tyres.[citation needed]"
"20,600 m (67,600 ft)",8:25,Production,Lotus,Lotus Exige S,Horst von Saurma,2008,Sport Auto (06/2008)[315]
"20,600 m (67,600 ft)",8:25,Production,Jaguar,Jaguar XKR,Horst von Saurma,2006,"Sport Auto (12/2006), Dunlop SP Sportmaxx, six-speed automatic.[316]"
,8:25,Production,Audi,Audi RS4,Sean Moore,,[citation needed]
"20,600 m (67,600 ft)",8:25,Production,Porsche,Porsche Cayman S (987),Horst von Saurma,2006,"Sport Auto (11/2006), Michelin Pilot Sport 2 N1, PASM, Sport Chrono.[317]"
"20,600 m (67,600 ft)",8:24,Production,Mitsubishi,Mitsubishi Lancer Evo VI,Horst von Saurma,1999,"Sport Auto (11/1999), sport tyres.[citation needed]"
"20,600 m (67,600 ft)",8:25,Production,Mitsubishi,Mitsubishi Lancer Evo VII,Horst von Saurma,2002,"Sport Auto (11/2002), Yokohama ADVAN.[318]"
"20,600 m (67,600 ft)",8:26,Production,Audi,Audi S5,Horst von Saurma,,"Sport Auto (01/2008), Michelin Pilot Sport.[319]"
"20,600 m (67,600 ft)",8:26,Production,BMW,BMW 335i Coupe (E92),Horst von Saurma,2006,"Sport Auto (10/2006), Bridgestone Potenza RE050A run-flat.[320]"
"20,600 m (67,600 ft)",8:26,Production,Ford,Ford Focus RS (Mk2),Horst von Saurma,2009,"Sport Auto (08/2009), Continental Conti SportContact 3.[321]"
,8:26,Production,Nissan,Nissan 350Z,Horst von Saurma,,Sport Auto (10/2003)[citation needed]
"20,600 m (67,600 ft)",8:28,Production,Mini,Mini John Cooper Works Pro (F56),Christian Gebhardt,2017,"Sport Auto (04/2017), Pirelli P Zero.[322][323]"
,8:28,Production,Porsche,Porsche 911 Carrera (993),Horst von Saurma,,Sport Auto (07/1997)[citation needed]
"20,600 m (67,600 ft)",8:29,Production,Audi,Audi TTS Coupe,Horst von Saurma,,Sport Auto (10/2008)[324]
,8:30,Production,Alfa Romeo,Alfa Romeo Giulietta QV,,,al Volante.it (04/2011)[325]
,8:32,Production,Porsche,Porsche Boxster S,Horst von Saurma,,Sport Auto (12/1999)[citation needed]
"20,600 m (67,600 ft)",8:35,Production,BMW,BMW M3 E36,Horst von Saurma,1997,"Sport Auto (03/1997), Michelin MXX3, SMG automatic.[326]"
,8:35.00,Production,Ford,Ford Focus ST,Patrick Bernhard,2005,Factory claimed.[327][328]
,8:35,Production,Opel,Opel Astra OPC 2.0T (240PS),Manuel Reuter,,"Opel, 05[citation needed]"
"19,100 m (62,700 ft)",8:36,Production,Volkswagen,Volkswagen Golf Mk5 VW R32 MKV DSG,RRRRpower,4 October 2009,BTG https://www.youtube.com/watch?v=xSnMcKdsfjg
,8:38,Production,Honda,Honda NSX,,,Sport Auto (08/1997)[citation needed]
,8:39,Production,Honda,Honda S2000,Horst von Saurma,,Sport Auto (01/2000)[citation needed]
,8:39,Production,Mazda,Mazda MAZDASPEED3 (Mazda3 MPS),Mark Ticehurst,2007,"Mazda News (06/2007), Mazda Racing Driver, 10th lap.[329][330]"
,8:40,Production,Chevrolet,Chevrolet Corvette C5,,,"Sport Auto (07/1997), automatic transmission.[citation needed]"
,8:42,Production,Lotus,Lotus Exige Mk1,Horst von Saurma,,"Sport Auto (11/2000), Sport tyres.[331]"
,8:43,Production,Hyundai,Hyundai Genesis Coupe 3.8L,Dmitry Sokolov,July 2011,"TopGear Russia (2011), automatic transmission[332]"
"19,100 m (62,700 ft)",8:43.3,Production,SEAT,SEAT Leon Cupra R Mk1,Ã˜istein Helland,7 August 2010,BTG https://www.youtube.com/watch?v=BGwNecMZrtQ
,8:43.52,Production,Chevrolet,Chevrolet HHR SS,,,[citation needed]
,8:47,Production,Volkswagen,Volkswagen Scirocco 2.0 TSI,Bernt BrÃ¥ten Andersen,15 November 2009,Minimalt.no[citation needed]
"20,600 m (67,600 ft)",8:47,Production,Honda,Honda Civic Type-R 2.0i LS,Horst von Saurma,2001,Sport Auto (11/2001).[333]
,8:47.99,Production,Opel,Opel Corsa OPC,Manuel Reuter,2007,Opel conducted test.[334]
"20,600 m (67,600 ft)",8:50,Production,BMW,BMW M3 (E30),,2010,Sport Auto (9/2010)[335]
"19,100 m (62,700 ft)",8:50,Production,Tesla,Tesla Model S P85D,,2015,BTG[336]
"20,600 m (67,600 ft)",8:53,Production,Volkswagen,Volkswagen Golf GTI (Mk5),Horst von Saurma,2005,"Sport Auto (11/2005), Michelin Pilot Exalto, DSG.[337]"
"20,600 m (67,600 ft)",8:54,Production,Opel,Opel Corsa 1.6 Turbo OPC,Horst von Saurma,2008,"Sport Auto (04/2008), Continental Conti SportContact.[338]"
,8:54.38,Production,Opel,Opel Zafira OPC,Manuel Reuter,,[citation needed]
,8:55,Production,Range Rover,Range Rover Sport Supercharged (2010),Paul Wijgaertz,2009,Dynamic Adaptive Test - https://www.youtube.com/watch?v=4SYyxYDWtyk
"19,100 m (62,700 ft)",9:00,Production,Tesla,Tesla Model 3 Performance,,2019,BTG[339]
,9:02,Production,Chevrolet ,Chevrolet Cobalt SS Turbo,John Heinricy,October 2007,Wet Track[340]
"19,100 m (62,700 ft)",9:09,Production,Volkswagen,Volkswagen Lupo GTI,Daniel Schwerfeld,29 September 2002,BTG[341]
"22,800 m (74,800 ft)",16:01,Production,Trabant,Trabant P50,Factory team of VEB Sachsenring,April 1960,Production car with 20Â bhp during the final stage of the international Hanseat-Rallye.[342]
"20,832 m (68,346 ft)",5:19.546,Special,Porsche,Porsche 919 Hybrid EVO,Timo Bernhard,29 June 2018,Modified LMP1-h (Le Mans prototype).
"20,832 m (68,346 ft)",6:05.336,Special,Volkswagen,Volkswagen ID.R,Romain Dumas,3 June 2019,Average speed of 206.96Â km/h. Electric vehicle lap record and lowest energy consumption at 24.7 kWh.
"20,600 m (67,600 ft)",6:40.33,Special,Porsche,Porsche 911 GT2 RS MR (991.2) by Manthey Racing,Lars Kern,25 October 2018,"Street-legal, Michelin Pilot Sport Cup 2 R, OEM ""Weissach Package"", OEM deletion of audio and communication system, KW Competition 3-way race suspension, larger wing and dive planes, Porsche Motorsport bucket seat and harness on driver's side. Porsche conducted test."
"20,600 m (67,600 ft)",6:43.22,Special,McLaren,McLaren P1 XP1 LM Prototype,Kenny Brack,27 April 2017,Modified by Lanzante Motorsport to meet road regulations. Car was without front number plate and therefore not road legal during the run.[355][356]
"20,832 m (12.944 mi)",6:45.90,Special,NIO,NIO EP9,Peter Dumbreck,12 May 2017,NextEV-branded slicks.[359]
"20,832 m (12.944 mi)",6:47.50,Special,Pagani,Pagani Zonda R,Marc Basseng,29 June 2010,
"20,600 m (67,600 ft)",6:57.5,Special,Subaru ,Subaru WRX STI Type RA NBR Special,Richie Stanaway,"Jul 21, 2017",Custom-built race car by Prodrive.
"20,832 m (12.944 mi)",6:58.16,Special,Ferrari,Ferrari 599XX,Raffaele de Simone,21 April 2010,
"20,600 m (12.8 mi)",7:03.06,Special,Dodge,Dodge Viper ACR-X,,February 2012,
"20,832 m (12.944 mi)",7:05.12,Special,NIO,NIO EP9,Peter Dumbreck,14 October 2016,NIO's first run in the Nurburgring taken in wet conditions.
"20,600 m (67,600 ft)",7:09.59,Special,Porsche,Porsche 911 GT3 RS MR (991.1) by Manthey Racing,Christian Gebhardt,2017,"Street-legal, Michelin Pilot Sport Cup 2 N0, magnesium wheels, KW Competition 3-way race suspension, 911 R diffusor."
"20,600 m (67,600 ft)",7:15.63,Special,Porsche,Porsche 911 GT2 (996) by Edo Competition,Patrick Simon,4 August 2005,Vehicle was tuned to produce 670Â bhp and 880Nm Torque.
"20,832 m (68,346 ft)",7:20.143,Special,Lynk & Co,Lynk & Co 03 Cyan Concept,Thed BjÃ¶rk,23 August 2019,Michelin Pilot Sport Cup 2 285/30R20.
"20,832 m (12.944 mi)",7:22:00,Special,Ford,Mygale M12-SJ-Ford Ecoboost,Nick Tandy,4 September 2012,"Technical info of chassis. Car is a series produced Formula Ford racer converted for road use that including the addition of registration plates, wheel covers, front and rear lights, revised wing mirrors and a horn. The car was driven on road-legal tyres. Ford conducted test."
"20,832 m (12.944 mi)",7:22.329,Special,Toyota,Toyota TMG EV P002,Jochen Krumbach,2 October 2012,Toyota Motorsport GmbH conducted test.
"20,600 m (12.8 mi)",7:22:80,Special,BMW ,BMW M3 CSL (E46) by Loaded,Richard GÃ¶ransson,11 November 2007,Time was set on a non-exclusive public track day with other cars present. Car has been modified by Loaded to include a custom supercharger that puts out 180Â PS (132Â kW; 178Â hp) more than the stock car's 360Â PS (265Â kW; 355Â hp) 3.2L inline 6 BMW S54 engine. Car is road legal outside of North America.
"20,600 m (67,600 ft)",7:29.5,Special,BMW ,BMW M5 (F90) by AC Schnitzer,JÃ¶rg MÃ¼ller,22 August 2018,
,7:37,Special,Porsche,Porsche 911 Carrera S (991.1) Prototype,,2011,"Claimed by August Achleitner, 911 Series Manager, in Car & Driver August 2011 Edition. Time is for non-production, Prototype Porsche (Type 991) Carrera S in its ""best configuration""."
,7:46,Special,Jaguar,Jaguar XJ220 Prototype,John Nielsen,1991,Car wasn't road legal. A manual stopwatch in a promotional video by Jaguar was shown displaying this time. Not independently verified.
"20,832 m (12.944 mi)",7:49,Special,Toyota,Toyota Supra,Herbert SchÃ¼rg,1997,"Refer to link for modification details. Modified by Japanese automotive accessory company Blitz, it was claimed to be capable of 750Â PS (552Â kW; 740Â hp) but ran on 606Â bhp (452Â kW; 614Â PS) when time was recorded."
"20,832 m (12.944 mi)",7:50,Special,BMW ,BMW X5 (E53) LM,Hans-Joachim Stuck,2000,BMW M70 S70B56 engine from a V12 LMR.
"20,600 m (67,600 ft)",7:50.63,Special,Honda,Honda Civic Type R Prototype,,May 2014,"Honda conducted test, development car with technical specifications representative of the final production car. FWD car record, video confirmed."
"20,832 m (12.944 mi)",7:55,Special,Subaru ,Subaru Impreza WRX STi Sedan (2011) Prototype,Tommi MÃ¤kinen,16 April 2010,Subaru conducted test. MY2011 prototype with non-production upgrades and modifications. Subaru EJ207 engine from a 2010 JDM Subaru Impreza WRX STi R205 with larger turbo. Video confirmed.[390]
"20,832 m (12.944 mi)",8:15,Special,BMW ,BMW Z4 M Roadster Prototype,,2009,"""...we cant resist asking what its lap time is and Richter, (Gerhard Richter, director of M GmbH) reveals that it's 8:15, but that time was set with a development car rather than the final, optimum, production-ready car."""
"20,600 m (67,600 ft)",8:19.8,Special,BMW ,BMW i8 by AC Schnitzer,Markus Oestreich,2017,"Bodykit with wing, 21"" wheels, wider tyres, lowered suspension."
"20,832 m (12.944 mi)",8:42.72,Special,Electric Raceabout,Electric Raceabout,Ralf Kelleners,September 2011,Electric RaceAbout of Finland is road legal and registered prototype battery electric vehicle. Test was run by Helsinki Metropolia University of Applied Sciences using Nokian Z G2 high performance road tyres.[392] Time will also be verified and published by Sport Auto.
"20,832 m (12.944 mi)",8:56.81,Special,Chery,Chery Riich G5 2.0T,Dirk Schoysman,13 October 2009,"Chery conducted test. This modified car differs from the production model with added roll-cage, stripped out interior, upgraded brakes, rims and tyres. Not clear whether the engine had been tuned. Chery claimed that they have been the first Chinese auto maker that 'Conquered the Nurburgring (ä¸­å›½é¦–é©±ï¼Œå¾æœçº½åšæ ¼æž—ï¼)'."
"19,100 m (11.9 mi)",9:12,Special,Jaguar,Jaguar S-Type Diesel,Sabine Schmitz,21 November 2004,Sabine Schmitz set this lap on her first try after telling Jeremy Clarkson that his time in the Jaguar of 9:59 was rubbish.
"20,832 m (12.944 mi)",9:52,Special,Mini,"Mini E racer,  Electric",Thomas JÃ¤ger,April 2010,This was the first time under ten minutes recorded by an electric car.
"19,100 m (11.9 mi)",9:59,Special,Jaguar,Jaguar S-Type Diesel,Jeremy Clarkson,21 November 2004,"Clarkson was set a challenge to get a Jaguar S-Type 2.7 Diesel round the 'ring in under 10 minutes, and after getting shown around and getting advice from Sabine Schmitz, and quite a few attempts, he managed a 9:59. Sabine went on to say that she could do this lap time in a van. She completed the lap in the same car as Clarkson in 9:12."
"19,100 m (11.9 mi)",10:08.49,Special,Ford,Ford Transit,Sabine Schmitz,,"After telling Jeremy Clarkson that she could do his lap time in a van, Schmitz was set the same challenge as Clarkson, but in a Ford Transit. After a few attempts, she found this was impossible, so she had to strip some weight out of the van and have a Dodge Viper drive in front of it for slipstream. Vehicle had several parts removed and the draft vehicle in front of it for the 10:08 lap time. Top Gear Series 6, Episode 7. Originally aired 10 July 2005[397]"
,,,,Lynk & Co 03 Cyan Concept,,,
